"TYP","Type of Volume","MEA","Measure","BEVT","Beverage Type","SUB","Beverage Subtype/Strength","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2006","2006",19110,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2007","2007",19354,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2008","2008",20148,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2009","2009",22900,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2010","2010",23014,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2011","2011",24032,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2012","2012",23080,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2013","2013",24031,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2014","2014",23174,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2015","2015",23436,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2016","2016",24280,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2003","2003",12190,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2004","2004",13589,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2005","2005",15338,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2006","2006",16383,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2007","2007",18123,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2008","2008",18693,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2009","2009",13012,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2010","2010",12811,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2011","2011",12812,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2012","2012",12490,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2013","2013",12130,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2014","2014",11610,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2015","2015",10962,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2016","2016",11301,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2003","2003",1.24,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2004","2004",1.22,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2005","2005",1.22,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2006","2006",1.17,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2007","2007",1.17,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2008","2008",1.19,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2009","2009",1.32,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2010","2010",1.3,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2011","2011",1.34,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2012","2012",1.26,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2013","2013",1.29,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2014","2014",1.23,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2015","2015",1.22,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","11","Spirits","A","Annual","2016","2016",1.25,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2003","2003",0.78,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2004","2004",0.86,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2005","2005",0.95,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2006","2006",1,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2007","2007",1.09,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2008","2008",1.1,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2009","2009",0.75,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2010","2010",0.72,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2011","2011",0.71,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2012","2012",0.68,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2013","2013",0.65,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2014","2014",0.61,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2015","2015",0.57,,
"1","Volume of pure alcohol","2","Per capita apparent consumption (litres)","3","Spirits and RTDs","12","RTDs","A","Annual","2016","2016",0.58,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2000","2000",149590,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2001","2001",155234,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2002","2002",154431,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2003","2003",163268,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2004","2004",163620,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2005","2005",168518,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2006","2006",171383,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2007","2007",178655,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2008","2008",182231,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2009","2009",184304,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2010","2010",186220,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2011","2011",184789,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2012","2012",183263,,
"1","Volume of pure alcohol","1","Total apparent consumption ('000 litres)","4","Total all beverages","14","Total all beverages","A","Annual","2013","2013",184136,,
